Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Sat Oct 06 18:06:06 +0000 2018,0.0,1.0,0.0,Most polite stag do ever 😂 https://t.co/Vdz6abFUA5,1,@BBC
0.0,Sat Oct 06 17:07:02 +0000 2018,0.0,1.0,0.0,A horse walks into a bar... https://t.co/0e9rcMyq26,2,@BBC
0.4939,Sat Oct 06 16:05:06 +0000 2018,0.0,0.819,0.181,"Hundreds of sculptures lie at the bottom of the sea in Cancun, where they play an important role in conservation. https://t.co/elKcb1ArXb",3,@BBC
-0.5574,Sat Oct 06 15:54:44 +0000 2018,0.265,0.735,0.0,RT @BBCNewsEnts: Opera singer Montserrat Caballé has died at 85 https://t.co/XjCDKCe3Wo,4,@BBC
0.0,Sat Oct 06 15:32:00 +0000 2018,0.0,1.0,0.0,"These caves in rural Italy have been transformed into hotel rooms. 😍🇮🇹

#Mediterranean with @Simon_Reeve starts on… https://t.co/odrZvluN8x",5,@BBC
-0.4189,Sat Oct 06 15:11:07 +0000 2018,0.238,0.655,0.108,"Please can everyone stop drinking their own urine?
It’s really not very good for you.
👉 https://t.co/gJwPTW9aiI https://t.co/E8aW02uYqp",6,@BBC
0.0,Sat Oct 06 14:06:03 +0000 2018,0.0,1.0,0.0,"Going, going, gone!

A Banksy artwork shredded itself after it was sold for more than £1m at Sotheby's in London.… https://t.co/Qm7OwhiXT5",7,@BBC
-0.4939,Sat Oct 06 13:10:02 +0000 2018,0.225,0.775,0.0,❤️ George Shelley opens up about grief and how to cope. https://t.co/4SajjiJI6e,8,@BBC
-0.4588,Sat Oct 06 12:08:01 +0000 2018,0.231,0.769,0.0,Footage shows hundreds of tents abandoned by people after #LeedsFestival… https://t.co/VPTNlAVId4,9,@BBC
0.5095,Sat Oct 06 11:07:05 +0000 2018,0.127,0.586,0.288,"🎓 Losing friends, moving home and being broke... what's life after university really like?
👉 https://t.co/5sabryzvbw https://t.co/9x23y45XtO",10,@BBC
-0.128,Sat Oct 06 10:03:00 +0000 2018,0.154,0.711,0.134,"✉️ @StephenFry reads the letters of Otto von Wächter, a senior Austrian Nazi who escaped justice after the war.

Li… https://t.co/eadlYB4D0K",11,@BBC
-0.4767,Sat Oct 06 09:08:03 +0000 2018,0.205,0.795,0.0,"How a bike accident transformed the lives of thousands of disabled people. 
#BBCInnovators https://t.co/NKOauhKD7M",12,@BBC
0.4939,Sat Oct 06 08:07:02 +0000 2018,0.0,0.856,0.144,"✍️ Inspired by the book he famously illustrated 30 years ago, Sir Quentin Blake imagines what Roald Dahl's Matilda… https://t.co/DzXk7J6M2p",13,@BBC
0.2732,Sat Oct 06 07:40:34 +0000 2018,0.066,0.823,0.111,"RT @BBCTheOneShow: 1.5 million people may have been affected by the tsunami in Sulawesi. 
Here’s how you can help the @decappeal https://t.…",14,@BBC
0.7003,Sat Oct 06 07:08:02 +0000 2018,0.0,0.655,0.345,"☕️💛 This Amazing Human uses coffee to give homeless people a second chance.

https://t.co/wOc1ce2B3J",15,@BBC
-0.8074,Fri Oct 05 19:04:05 +0000 2018,0.356,0.644,0.0,"Follow some of the debt counsellors working for Christians Against Poverty.

The Debt Saviours | 9pm | @BBCTwo |… https://t.co/t0c5uwl4jk",16,@BBC
0.0,Fri Oct 05 18:08:03 +0000 2018,0.0,1.0,0.0,💪🐔 Check out these miniature chicken bodybuilders. https://t.co/rfRrfZMVkM,17,@BBC
0.0,Fri Oct 05 17:03:08 +0000 2018,0.0,1.0,0.0,John Humphrys presents the first heat of the series as the hunt for the nation's Mastermind gets back underway.… https://t.co/hQdf779Yeo,18,@BBC
0.0,Fri Oct 05 16:05:04 +0000 2018,0.0,1.0,0.0,FACT: Britons can only let go emotionally when a barmaid breaks some glasses... 😂 #TheMashReport https://t.co/Hk2tqQv8WR,19,@BBC
0.3612,Fri Oct 05 15:32:37 +0000 2018,0.0,0.872,0.128,"RT @1Xtra: .@RayBLK_'s #LiveLounge cover of 'A Natural Woman' for #BackHistoryMonth was just incredible.  

Full video 👉🏿 https://t.co/6TNL…",20,@BBC
0.7717,Fri Oct 05 14:06:12 +0000 2018,0.0,0.642,0.358,"RT @BBCWales: 😂 Best global marketing campaign ever? 

🆕 #FestivalofFunny comedy: #TouristTrap 
⭐️ @MikeBubbins, @MariBarf, @SallyEPhillips…",21,@BBC
0.3612,Fri Oct 05 14:06:04 +0000 2018,0.0,0.889,0.111,"RT @BBCWales: The new tourism head honcho for Wales gets hands on as she learns all about making love...spoons. 😆

🆕 Comedy: #TouristTrap…",22,@BBC
0.0,Fri Oct 05 13:55:03 +0000 2018,0.0,1.0,0.0,"RT @BBCWales: 😮WE JUST DROPPED ALL OF #TOURISTTRAP ON @BBCIPLAYER. 

✨WATCH EVERY EPISODE HERE 👉 https://t.co/kOmZRWZt8D

👍HAPPY FRIDAY! #F…",23,@BBC
-0.1027,Fri Oct 05 13:02:07 +0000 2018,0.091,0.909,0.0,"'I hid my baby from social services in case they took it away.'
👉 https://t.co/GzIQQwypFT https://t.co/2m4sqlGogP",24,@BBC
0.1779,Fri Oct 05 12:33:00 +0000 2018,0.131,0.657,0.211,"Raoul the turtle had a lucky escape after getting tangled in plastic waste. 🐢

#Mediterranean with @simon_reeve sta… https://t.co/naQPqpDwpy",25,@BBC
0.0,Fri Oct 05 12:03:07 +0000 2018,0.0,1.0,0.0,"🐬 This woman taught a dolphin to speak English. 

🔈 Sound up for this one…  https://t.co/wck12UVoRr",26,@BBC
0.8555,Fri Oct 05 11:03:05 +0000 2018,0.0,0.669,0.331,"Why does everybody love moth memes?

It's the one-sided love story that we can all relate to...
👉… https://t.co/55Oz8ULaX3",27,@BBC
0.743,Fri Oct 05 10:00:25 +0000 2018,0.0,0.674,0.326,"RT @BBCTwo: We literally can't get enough of @donaldglover's amazing smile. 😁😁 #Atlanta #WorldSmileDay
https://t.co/ovzKcY0pKg",28,@BBC
0.3818,Fri Oct 05 09:32:19 +0000 2018,0.22,0.478,0.303,"The Nobel Peace Prize has been awarded to campaigners against rape in warfare Nadia Murad and Denis Mukwege. 
👉… https://t.co/getpPN0hD9",29,@BBC
0.7414,Fri Oct 05 09:27:55 +0000 2018,0.0,0.77,0.23,RT @BBC_Teach: It’s #WorldTeachersDay 👩🏫 so to celebrate we're inviting you to upload a video of yourself singing &amp; dancing along to one of…,30,@BBC
-0.6705,Fri Oct 05 09:08:05 +0000 2018,0.2,0.8,0.0,"The quest for extreme selfies killed 259 people between 2011 and 2017, a 2018 global study has revealed.
👉… https://t.co/uojB5RWAf2",31,@BBC
0.5994,Fri Oct 05 08:00:11 +0000 2018,0.0,0.804,0.196,👩🏾‍🎨🎨🖼 This artist on a mission to change how black women are illustrated with her beautiful designs. https://t.co/OiKhaT5joi,32,@BBC
0.5719,Fri Oct 05 07:08:05 +0000 2018,0.0,0.719,0.281,"From dream job to reality: How do career dreams really work out?
👉 https://t.co/jXwJd5MzSu https://t.co/cf8HHuYtyi",33,@BBC
0.0,Fri Oct 05 06:11:03 +0000 2018,0.0,1.0,0.0,"These urban corals are thriving against all odds in Miami.

#OurBluePlanet w/ @oceanx + @coralmorph https://t.co/zjeBH83ZM7",34,@BBC
0.0,Thu Oct 04 20:06:04 +0000 2018,0.0,1.0,0.0,"🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they… https://t.co/SSFjTKFAjU",35,@BBC
-0.5209,Thu Oct 04 19:01:08 +0000 2018,0.227,0.673,0.101,"Could the power of fake pills be used to treat some of our most common medical complaints? 💊

#Horizon The Placebo… https://t.co/R3YMojVEYu",36,@BBC
0.0,Thu Oct 04 18:01:09 +0000 2018,0.0,1.0,0.0,"This is how homophobia feels in 2018. 
#NationalPoetryDay https://t.co/Dk2F3dDLPl",37,@BBC
-0.6124,Thu Oct 04 17:11:06 +0000 2018,0.26,0.64,0.1,"🥓 Regularly eating foods like bacon and sausages may raise the risk of breast cancer, according to researchers.
👉… https://t.co/drh72r7tDj",38,@BBC
0.4215,Thu Oct 04 16:03:07 +0000 2018,0.0,0.714,0.286,"Maya Angelou: prolific, powerful, and a polymath. 
#BlackHistoryMonth https://t.co/99z0ppyKYK",39,@BBC
-0.4588,Thu Oct 04 15:29:47 +0000 2018,0.242,0.67,0.088,"RT @BBCWales: Forget the lies and the myths about growing up on an estate. 

#NationalPoetryDay

https://t.co/HPKwfqx7bq",40,@BBC
0.0,Thu Oct 04 14:01:23 +0000 2018,0.0,1.0,0.0,"How did Shakespeare invent all those clichés? And how can he be stopped?! 🤔
#NationalPoetryDay  https://t.co/sCmnhZiv4G",41,@BBC
0.1531,Thu Oct 04 13:03:03 +0000 2018,0.0,0.849,0.151,"🌡🌍 What does 1.5C mean in a warming world?
👉 https://t.co/XzjY5M8oNl https://t.co/kMLXVnvjxm",42,@BBC
-0.25,Thu Oct 04 12:02:05 +0000 2018,0.357,0.429,0.214,Are you feeling lonely? https://t.co/HxqBp6oh17,43,@BBC
0.4404,Thu Oct 04 11:28:10 +0000 2018,0.0,0.813,0.187,"RT @BBCEarth: This #WorldAnimalDay, we’re giving you an exclusive first look at David Attenborough’s new series.

#Dynasties - Coming soon…",44,@BBC
0.0,Thu Oct 04 11:13:01 +0000 2018,0.0,1.0,0.0,"Ever heard a beatboxing starling? 🔊🔊
#WorldAnimalDay https://t.co/N758EN4j3s",45,@BBC
0.1759,Thu Oct 04 10:45:47 +0000 2018,0.206,0.546,0.248,"The pika might just be the world's cutest thief! 
#WorldAnimalDay https://t.co/v8dSKoVYgD",46,@BBC
0.0,Thu Oct 04 10:26:38 +0000 2018,0.0,1.0,0.0,Could this squat be a moment that sparks change? https://t.co/GFXOeWufHl,47,@BBC
0.4939,Thu Oct 04 08:00:04 +0000 2018,0.0,0.775,0.225,"🐬 A dolphin with a prosthetic tail inspired Ellie’s Paralympic journey.

#OurBluePlanet w/ @oceanx https://t.co/WtUfOh4W2Z",48,@BBC
-0.2263,Thu Oct 04 07:03:02 +0000 2018,0.239,0.516,0.245,"🥗 Eating a Mediterranean diet may help prevent depression, research suggests.
👉 https://t.co/FIpHPRQHqV https://t.co/tl4BbDsxUa",49,@BBC
-0.5994,Thu Oct 04 06:03:01 +0000 2018,0.231,0.769,0.0,"3 homeless people die every week in the UK.
Meanwhile in Finland...

(via @BBCThree) https://t.co/P4MYjbE4d1",50,@BBC
0.4939,Wed Oct 03 19:04:04 +0000 2018,0.0,0.819,0.181,"The search for Lord Sugar's next business partner begins, and this year the challenges are bigger and better than e… https://t.co/El1AyC5sXs",51,@BBC
0.0,Wed Oct 03 17:59:01 +0000 2018,0.0,1.0,0.0,🎧❤️ Dementia playlists are making such a big difference to these people.  https://t.co/ojVDVuP6to,52,@BBC
0.0,Wed Oct 03 17:03:42 +0000 2018,0.0,1.0,0.0,RT @BBCnireland: ✍ @BBCApprentice is back tonight on @BBCOne so here are some tips to get you hired! - https://t.co/gc5KSIFQf1 https://t.co…,53,@BBC
0.4404,Wed Oct 03 16:55:01 +0000 2018,0.0,0.861,0.139,❤️ Couples will soon be able to choose a civil partnership instead of a marriage thanks to Rebecca and Charles. https://t.co/nampxOV5ur,54,@BBC
0.0,Wed Oct 03 15:58:03 +0000 2018,0.0,1.0,0.0,🍜 The humble origins of an incredibly versatile food – the potted history of instant noodles. https://t.co/3RMBZ33zFY,55,@BBC
0.0,Wed Oct 03 13:04:03 +0000 2018,0.0,1.0,0.0,"🌙 'Leonardo da Vinci was the first recorded person to realise what a crescent moon was.'

Nine out of this world fa… https://t.co/cpzfOniwxA",56,@BBC
0.0343,Wed Oct 03 11:57:04 +0000 2018,0.159,0.675,0.166,"That time @RyanGosling was training to be an astronaut and DEFINITELY WASN'T (was) sick. 
#TheGNShow https://t.co/mf8dnizxAV",57,@BBC
0.2732,Wed Oct 03 11:01:02 +0000 2018,0.0,0.89,0.11,"🕺🎙 'Tom Daley was an Elvis impersonator - with his dad'

10 surprising things we learned from @TomDaley1994’s… https://t.co/NGQAEEJWdl",58,@BBC
-0.5574,Wed Oct 03 08:02:04 +0000 2018,0.247,0.753,0.0,"19-year-old rapper Kitch has a stutter when he speaks - but when he performs, it usually disappears. https://t.co/tVXhIeAwEg",59,@BBC
0.0,Wed Oct 03 08:01:24 +0000 2018,0.0,1.0,0.0,"RT @BBCRadio2: 🥁Drumroll please!🥁

Our brand new Breakfast Show host is @ZoeTheBall! 👏

https://t.co/th597DBxQI https://t.co/dbfQgMsuHO",60,@BBC
